"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 24 22:33:22 MSK 2021","Sun Oct 24 22:33:27 MSK 2021","5286","test","Test_add_contact","","","","test_add_contact[None:firstnameK1FQi:lastnameyN4a4Mv3:middlenamesmxgozz:None:companyU:addressBVP6N:7926606:+7926 43:89266:9261852:EMailj0Fps:]",""
"passed","Sun Oct 24 22:33:28 MSK 2021","Sun Oct 24 22:33:33 MSK 2021","5397","test","Test_add_contact","","","","test_add_contact[None:firstnamesyDKp:lastnamePv:middlenameQr0Z:None:companyZoS:addressfL:7926 45:+79264 07:892679866:92675:EMailPJZ:]",""
"passed","Sun Oct 24 22:33:01 MSK 2021","Sun Oct 24 22:33:04 MSK 2021","2785","test","Test_add_contact","","","","test_add_contact[None::::None:None:None:None:None:None:None:None:]",""
"passed","Sun Oct 24 20:11:12 MSK 2021","Sun Oct 24 20:11:14 MSK 2021","1673","test","Test_add_group","","","","test_add_group[None:nameYK55:header6MlOp:footerf]",""
"passed","Sun Oct 24 20:11:05 MSK 2021","Sun Oct 24 20:11:07 MSK 2021","2006","test","Test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sun Oct 24 20:11:11 MSK 2021","Sun Oct 24 20:11:12 MSK 2021","1534","test","Test_add_group","","","","test_add_group[None:nameVKYx:headert:footerJLuMbe]",""
"passed","Sun Oct 24 22:33:16 MSK 2021","Sun Oct 24 22:33:22 MSK 2021","5245","test","Test_add_contact","","","","test_add_contact[None:firstname9:lastnameZuSz9q:middlenameQa:None:companyJOgVX:address:79269:+792663041:89269266:926:EMails:]",""
"passed","Sun Oct 24 22:33:05 MSK 2021","Sun Oct 24 22:33:10 MSK 2021","5372","test","Test_add_contact","","","","test_add_contact[None:firstnamehdz:lastnameEbDnTC:middlenamer:None:companyr:address:79261:+792697:89266 4:926077:EMail:]",""
"passed","Sun Oct 24 20:11:09 MSK 2021","Sun Oct 24 20:11:11 MSK 2021","1642","test","Test_add_group","","","","test_add_group[None:name3wM3i:header:footerzNQu1G]",""
"passed","Sun Oct 24 20:11:07 MSK 2021","Sun Oct 24 20:11:09 MSK 2021","1851","test","Test_add_group","","","","test_add_group[None:name:headerF:footer]",""
"passed","Sun Oct 24 20:11:14 MSK 2021","Sun Oct 24 20:11:16 MSK 2021","1635","test","Test_add_group","","","","test_add_group[None:nameSh:header6Tm:footer9ba3DCgZoIsF]",""
"passed","Sun Oct 24 22:33:10 MSK 2021","Sun Oct 24 22:33:16 MSK 2021","5366","test","Test_add_contact","","","","test_add_contact[None:firstnamel93:lastnamezXwvGJ:middlename:None:companyFOw:address:792617667:+7926:89260:9269 396:EMail:]",""
